LTER SpeciesCode	Scientific Name	Authority	Common Name	"Habit (P=Perennial, A=Annual, Bi=Biennial; Growth Form (G=Grass, F=Forb, SS=Sub Shrub) "	" (C=cool, W=Warm Season)"	Flowering Date	Family	
Chgl	Chenopodium glaucum	L.	oakleaf goosefoot (lambsquarters)	Af		Jul-Sep	Chenopodiaceae	
Chin	Chenopodium incanum	(S. Wats.) Heller	ragleaf goosefoot	AF		Jul-Aug	Chenopodiaceae	
Chle	Chenopodium leptophyllum	(Moq.) Nutt. ex. Wats.	narrowleaf goosefoot (lambsquarters)	AF		Jul-Sep	Chenopodiaceae	
Chvi	Chrysopsis villosa	(Pursh) Nutt.	hairy goldenaster	PF		Jul-Sep	Compositae	
Chns	Chrysothamnus nauseosus	(Pallas & Britt.) ssp. graveolens (Nutt.) Piper	rubber rabbitbrush	PS		Jun-Sep	Compositae	
Chna*	Chrysothamnus nauseosus	(Pallas & Britt.) spp. nauseosus	rubber rabbitbrush	PS		Jun-Sep	Compositae	
Chvi*	Chrysothamnus viscidiflorus	(Nut.) Hook.	Douglas rabbitbrush	PS	WS	Jul-Sep	Compositae	
Ciar	Cirsium arvense	(L.) Scop.	Canada thistle	PF	WS	Jun-Aug	Compositae	
Cica	Cirsium canescens	Nutt.	hoary thistle	PF		May-Jun (Jul)	Compositae	
Cioc	Cirsium ochrocentrum	(Gray) Gray	yellow thistle	BiF or PF		Jul-Aug	Compositae	
Ciun	Cirsium undulatum	(Nutt.) Spreng.	wavyleaf thistle	PF	WS	Jun-Jul	Compositae	
Clli	Clematis ligusticifolia	Nutt.	western virginsbower	PF		Jul-Aug	Ranunculaceae	
Clse	Cleome serrulata	Pursh	Rocky Mountain beeplant	AF		Jun-Aug	Capparidaceae	
Coum	Comandra umbellata	(L.) Nutt.	common bastard toadflax	PF		Apr-Jul	Santalaceae	
Coar**	Convolvulus arvensis	(L.)	field bindweed	PF		Jun-Aug	Convolvulaceae	
Coca*	Conyza canadensis	(L.) Cronq.	horseweed	AF	WS	Jun-Sep	Compositae	
Cohy	Corispermum hyssopifolium	L.	common bugseed	AF		Aug-Sep	Chenopodiaceae	
Covi	Coryphantha vivipara	(Nutt.) Britt. & Rose	purple mammilaria (pincushion cactus)	PSS		May-Aug	Cactaceae	
Crru	Crepis runcinata	Torr. & Gray	dandelion hawksbeard	PF			Compositae	
Crcr*	Cryptantha crassisepala	(T. & G.) Greene	plains hiddenflower	AF		May-Jul	Boraginaceae	
Crja	Cryptantha jamesii	(Torr.) Payson	James cryptantha of James hiddenflower	PF		May-Aug (Sep)	Boraginaceae	
Crmi	Cryptantha minima	Rydb.	plains cryptantha	AF		May-Jul	Boraginaceae	
Crth	Cryptantha thyrsiflora	(Greene) Payson	cluster cryptantha	PF		Jun-Jul	Boraginaceae	
