"year","location","season","night","web","trap","recap","Taxa_sppcode","sex","age","reprod","mass","Taxa_genus","Taxa_species","count","Taxa_family","Taxa_order"
1989,"5pgrass",2,1,5,"141","n","pgfv","m","a","st","5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"143","n","pgfv","f","j","na","4"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"9","n","dior","f","a","na","47"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"10","n","remn","m","a","st","6"," Reithrodontomys"," montanus",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,2,2,"12","n","pmtr","f","a","na","na",NA,NA,1,NA,NA
1989,"5pgrass",2,2,2,"24","n","dior","m","a","st","42"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"24","n","pgfv","f","a","l","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"32","n","dime","f","a","na","55"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"58","n","spsp","f","j","na","66"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",2,2,2,"70","n","remn","f","j","na","4"," Reithrodontomys"," montanus",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,2,2,"83","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"89","n","remn","m","a","na","8"," Reithrodontomys"," montanus",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,2,2,"104","n","disp","f","a","na","110"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"108","n","spsp","f","a","na","100"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",2,2,2,"117","n","pgfv","m","a","st","8.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,2,"144","n","pgfv","f","j","na","5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,3,"12","n","dior","m","a","na","47"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,3,"33","n","pgfv","m","a","na","5.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,3,"39","n","dior","f","a","na","35"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,3,"48","n","spsp","m","a","na","99"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",2,2,3,"66","n","onar","m","a","st","16"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,2,3,"71","n","dior","f","a","na","46"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,3,"131","n","pgfv","m","a","st","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,3,"143","n","dior","f","a","na","48"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,3,"260","n","remg","m","j","na","6"," Reithrodontomys"," megalotis",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,2,3,"na","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,5,"2","n","pgfv","m","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,5,"23","n","spsp","m","a","st","110"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",2,2,5,"45","n","pgfv","m","a","na","9"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,5,"46","n","pgfv","m","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,5,"91","n","dior","m","a","st","48"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,5,"94","n","disp","m","a","st","140"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,2,5,"134","n","pgfv","m","a","st","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,3,"17","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,3,"82","n","onar","m","a","na","16"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,3,3,"118","n","dior","m","a","st","50"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,3,"120","n","disp","f","a","na","100"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,5,"93","n","disp","f","a","na","110"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,5,"95","n","pgfv","f","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,5,"107","n","pgfv","m","a","st","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,5,"108","n","pgfv","m","a","na","7.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,3,5,"131","n","remn","m","a","na","9"," Reithrodontomys"," montanus",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,3,5,"132","n","remn","m","j","na","8"," Reithrodontomys"," montanus",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,3,5,"260","n","dior","m","a","st","54"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"4","n","dime","m","a","st","45"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"17","n","dime","m","a","st","46"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"22","n","onar","m","a","st","18"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5plarrea",1,1,1,"33","n","dime","f","a","l","45"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"41","n","onar","m","a","st","22"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5plarrea",1,1,1,"42","n","dime","f","a","na","39"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"52","n","chin","m","a","na","8"," Chetodipus"," intermedius",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"54","n","dime","f","a","na","49"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"60","n","dime","f","a","na","43"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"67","n","dime","m","a","na","38"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"78","n","dime","f","j","na","29"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"95","n","dime","f","a","na","46"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"102","n","chin","m","a","na","9"," Chetodipus"," intermedius",1,"Heteromyidae","Rodentia"
1989,"5plarrea",1,1,1,"105","n","dime","f","a","na","41"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
