"Date","Mound.ID","Animal.ID","Capture.Type","Sex","Repro","Animal.Mass","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","site","count"
"4/22/2005",8905,225,"RC","F","NR",104,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",4505,228,"RC","F","NR",110,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",1605,230,"RC","M","NS",108,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",705,231,"RC","M","SC",146,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",3005,232,"RC","M","NS",114,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",10105,235,"RC","M","NS",121,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",7805,240,"N","M","SC",148,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",305,249,"N","M","NS",80,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",6505,251,"N","M","NS",98,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",13605,255,"N","M","SC",172,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",13405,257,"N","M","SC",157,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"4/22/2005",6105,258,"N","M","NS",115,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
